SN,Date,State,Incident,Fatalities
1,1944-04-14,Maharashtra,Bombay Port Fire,1000+
2,1979-07-29,Tamil Nadu,"Lakshmiki Talkies, Tutikorin",73
3,1981-12-06,Gujarat,Nilkanth Mahadev temple fire,49
4,1981-02-08,Karnataka,"Circus Fire, Bangalore",66
5,1985-02-23,Madhya Pradesh,Rajnandgaon train fire,50
6,1989-02-08,Karnataka,"Premier Studio Fire, Mysore",42
7,1990-04-16,Bihar,"Train fire, Patna",70
8,1990-10-10,Andhra Pradesh,"Train fire, Cherpalli",40
9,1995-12-23,Haryana,Dabwali,540
10,1997-02-23,Odisha,Baripada Religious Congregation,More than 200
11,1997-06-07,Tamil Nadu,Brihadeeswarar temple fire,48
12,1997-06-13,Delhi,Uphaar Cinema,59
13,2001-08-06,Tamil Nadu,"Mental Asylum, Erwadi",25
14,2002-06-26,Uttar Pradesh,"Shree Lee International footwear factory, Agra",42
15,2002-02-27,Gujarat,"Train fire, Godhara",58
16,2003-05-14,Punjab,"Train fire, Ludhiana",38
17,2004-01-23,Tamil Nadu,"Padmapriya Marriage Hall, Srirangam",57
18,2004-07-16,Tamil Nadu,Kumabakonam School,94
19,2006-04-10,Uttar Pradesh,"Brand India Trade Fair, Meerut",57
20,2006-11-22,West Bengal,"Leather factory, 24 Pargana (S)",30
21,2009-10-29,Rajasthan,IOC Oil Depot,12
22,2010-02-23,Karnataka,"Carlton Tower fire, Bangalore",9
23,2010-03-29,West Bengal,Stephen Court,42
24,2011-12-09,West Bengal,AMRI Hospital,90
25,2012-07-30,Andhra Pradesh,"Train fire, Nellore",47
26,2012-09-05,Tamil Nadu,Sivakasi Firework Factory,40
27,2013-12-28,Andhra Pradesh,Train fire,26
28,2016-04-11,Kerala,"Puttingal Devi Temple, Kollam",108
29,2019-02-12,Delhi,Arpit Hotel Fire,17
30,2019-05-24,Gujarat,"Takshashila Centre, Surat",20
31,2019-12-08,Delhi,Factory Building in Anaj Mandi area,43
